n,mae,rmse,calibration_in_the_large,calibration_slope,residual_age_slope,residual_age_correlation,latent_mae,latent_rmse,outcome_beta_unadjusted,outcome_p_unadjusted,outcome_beta_age_adjusted,outcome_se_age_adjusted,outcome_p_age_adjusted,outcome_ci_low_age_adjusted,outcome_ci_high_age_adjusted,scenario,method,replication,seed,association_target,association_error_age_adjusted,association_detected_age_adjusted,latent_target_in_ci
500.0,0.014884046075303118,0.018599382958399975,-0.0015767253939041551,0.9998859747200426,-0.00011402527995740819,-0.10710477605884057,0.014884046075303118,0.018599382958399975,-0.0005888480101018598,0.5349298672987484,-0.0005974970348467959,0.0009438173160560821,0.5269828410978443,-0.0024518607980963444,0.0012568667284027528,unbiased_predictions,residual_correction,3,1042716632,0.0,-0.0005974970348467959,False,True
500.0,0.014903548793403026,0.01862339924502463,-0.0015801060013002158,0.9998848098556573,-0.0001151901443426917,-0.10806007741410684,0.014903548793403026,0.01862339924502463,-0.0005894653514552682,0.5350264414655486,-0.0005982026548991481,0.0009449319264809724,0.526982841097782,-0.0024547563474357475,0.001258351037637451,unbiased_predictions,linear_recalibration,3,1042716632,0.0,-0.0005982026548991481,False,True
500.0,0.014895138518083285,0.018614601468083573,-0.0015746093598468889,0.99988853680477,-0.00011146319523003267,-0.10461096171010102,0.014895138518083285,0.018614601468083573,-0.0005913785204221521,0.5335169621937192,-0.0005998334352407404,0.0009448544000214217,0.5258234802231246,-0.002456234807773417,0.001256567937291936,unbiased_predictions,umlr_oracle,3,1042716632,0.0,-0.0005998334352407404,False,True
500.0,0.0223579736415347,0.02732323325112077,-0.00023301392936713228,0.9988632526337743,-0.00113674736622571,-0.7334365804594198,0.0223579736415347,0.02732323325112077,0.0019386207922030994,0.147106485737176,0.0001187395026261486,0.0009134963005609718,0.8966320230042613,-0.001676051087465259,0.0019135300927175564,unbiased_predictions,raw_lasso,4,1379478681,0.0,0.0001187395026261486,False,True
500.0,0.014820494439844232,0.018642979553068602,0.0015636565870383165,1.000023907124799,2.390712479893864e-05,0.022686104019866073,0.014820494439844232,0.018642979553068602,7.962712007020514e-05,0.9302815228239711,0.00011873950262612619,0.0009134963005609658,0.8966320230042799,-0.0016760510874652699,0.0019135300927175221,unbiased_predictions,residual_correction,4,1379478681,0.0,0.00011873950262612619,False,True
500.0,0.014837233564767316,0.018664065977299964,0.0015638124104077064,1.0000228628552672,2.2862855267202775e-05,0.02167049998320805,0.014837233564767316,0.018664065977299964,8.143659786771845e-05,0.9287822338033598,0.00011887735086558606,0.0009145568057348522,0.8966320230043692,-0.00167799686529596,0.001915751567027132,unbiased_predictions,linear_recalibration,4,1379478681,0.0,0.00011887735086558606,False,True
500.0,0.014882425483173384,0.018728047464269374,0.0016573787396456723,1.0000843800211725,8.43800211725032e-05,0.07973874047889655,0.014882425483173384,0.018728047464269374,-1.874337340249899e-05,0.9836373528475052,0.00011721653113485281,0.0009146112205908597,0.8980742325250128,-0.0016797645965395953,0.0019141976588093008,unbiased_predictions,umlr_oracle,4,1379478681,0.0,0.00011721653113485281,False,True
500.0,0.022394290846661925,0.02773672558673925,-0.0018332066982203585,0.9987775247974252,-0.001222475202574791,-0.7610193258328876,0.022394290846661925,0.02773672558673925,0.0002910788903003377,0.8306321027827891,-0.0006922406524011242,0.0008835578744144059,0.4337246439728412,-0.002428209761226537,0.0010437284564242884,unbiased_predictions,raw_lasso,5,437633189,0.0,-0.0006922406524011242,False,True
500.0,0.014328662335440157,0.018056074740108563,-0.0016852255861431332,0.9999472596161743,-5.274038382574453e-05,-0.05054520704410058,0.014328662335440157,0.018056074740108563,-0.0006486208474339467,0.4629846069568489,-0.0006922406524011642,0.0008835578744144023,0.4337246439728129,-0.00242820976122657,0.0010437284564242416,unbiased_predictions,residual_correction,5,437633189,0.0,-0.0006922406524011642,False,True
500.0,0.01434554802155798,0.018078080763113596,-0.0016873227742015117,0.9999462075867017,-5.379241329828144e-05,-0.05149070542713897,0.01434554802155798,0.018078080763113596,-0.0006485842415968894,0.46355475246362327,-0.0006930506523424185,0.0008845917371671561,0.4337246439728798,-0.0024310510415779902,0.001044949736893153,unbiased_predictions,linear_recalibration,5,437633189,0.0,-0.0006930506523424185,False,True
